string_index,note,type,length_in,target_lbf,modeled_percent_break,risk_band,full_stringing_gate,required_resolution
1,D6,Nylon,8.70,8.00,100.7,blocked_over_85,no_full_stringing,"Reduce tension, lengthen scale, lower pitch, or change material before ordering or pulling to pitch."
2,C6,Nylon,9.40,8.30,93.3,blocked_over_85,no_full_stringing,"Reduce tension, lengthen scale, lower pitch, or change material before ordering or pulling to pitch."
3,A#5,Nylon,10.20,8.60,87.2,blocked_over_85,no_full_stringing,"Reduce tension, lengthen scale, lower pitch, or change material before ordering or pulling to pitch."
4,A5,Nylon,11.00,8.90,90.4,blocked_over_85,no_full_stringing,"Reduce tension, lengthen scale, lower pitch, or change material before ordering or pulling to pitch."
5,G5,Nylon,12.00,9.20,85.4,blocked_over_85,no_full_stringing,"Reduce tension, lengthen scale, lower pitch, or change material before ordering or pulling to pitch."
6,F5,Nylon,13.00,9.50,79.5,blocked_over_70,no_full_stringing,"Derate below the practical prototype target and confirm with supplier break data."
7,E5,Nylon,13.80,9.80,79.8,blocked_over_70,no_full_stringing,"Derate below the practical prototype target and confirm with supplier break data."
8,D5,Nylon,15.00,10.10,74.9,blocked_over_70,no_full_stringing,"Derate below the practical prototype target and confirm with supplier break data."
9,C5,Nylon,16.20,10.40,69.3,near_limit,no_full_stringing_until_verified,"Confirm actual string data and keep a margin below the 70 percent prototype target."
10,A#4,Nylon,17.50,10.70,64.2,model_pass_requires_supplier_data,no_full_stringing_until_verified,"Confirm actual diameter, unit weight, and break strength before final set approval."
11,A4,Nylon,18.50,11.00,63.9,model_pass_requires_supplier_data,no_full_stringing_until_verified,"Confirm actual diameter, unit weight, and break strength before final set approval."
12,G4,Nylon,19.80,11.30,58.1,model_pass_requires_supplier_data,no_full_stringing_until_verified,"Confirm actual diameter, unit weight, and break strength before final set approval."
13,F4,Nylon,21.20,11.60,52.9,model_pass_requires_supplier_data,no_full_stringing_until_verified,"Confirm actual diameter, unit weight, and break strength before final set approval."
14,E4,Nylon,22.50,11.90,53.0,model_pass_requires_supplier_data,no_full_stringing_until_verified,"Confirm actual diameter, unit weight, and break strength before final set approval."
15,D4,Nylon,24.00,12.20,47.9,model_pass_requires_supplier_data,no_full_stringing_until_verified,"Confirm actual diameter, unit weight, and break strength before final set approval."
16,C4,Nylon,25.50,12.50,42.9,model_pass_requires_supplier_data,no_full_stringing_until_verified,"Confirm actual diameter, unit weight, and break strength before final set approval."
17,A#3,Nylon,27.00,12.80,38.2,model_pass_requires_supplier_data,no_full_stringing_until_verified,"Confirm actual diameter, unit weight, and break strength before final set approval."
18,A3,Wound,28.20,13.10,92.8,wound_model_blocked,no_full_stringing,"Replace the effective-density model with manufacturer unit weight and recommended tension data."
19,G3,Wound,29.50,13.40,80.6,wound_model_blocked,no_full_stringing,"Replace the effective-density model with manufacturer unit weight and recommended tension data."
20,F3,Wound,30.50,13.70,68.4,wound_model_unverified,no_full_stringing_until_verified,"Replace the effective-density model with manufacturer unit weight and recommended tension data."
21,F3,Wound,31.10,14.00,71.1,wound_model_blocked,no_full_stringing,"Replace the effective-density model with manufacturer unit weight and recommended tension data."
