Condition & Restoration Log,,,,,,
Area,Component,Condition found,Planned action,Materials needed,Done,Notes
Soundboard,Cowhide skin,,"Remove, save as template; install new cowskin","New rawhide/cowhide, water for soaking",,
Rim,Tacks,,Remove + count; re-tack new skin,Brass/steel tacks to match,,
Bridge,Notched bridge,,Clean / re-notch / replace; reseat,Hardwood blank if replacing,,
Bridge,Foot / pad,,Inspect; add pad to spread load if needed,Leather/felt,,
Strings,All strings,,Replace full set,Nylon / fishing line gauges per schedule,,
Anchor,String anchor / tail,,Replace / rebuild,New anchor material,,
Neck,Neck shaft,,"Sand, then finish","Sandpaper grits, finish",,
Tuning,Leather rings,,Inspect; replace/re-wrap as needed,Leather thong / cord,,
Handles,Hand posts (x2),,"Sand, then finish","Sandpaper, finish",,
Crossbars,Side bars,,"Sand, then finish","Sandpaper, finish",,
Gourd,Calabash shell,,Sand lightly; finish; stabilize cracks,"Sandpaper, finish, adhesive if cracked",,
Finish,Whole instrument,,Apply finish (test on hidden spot first),Oil / shellac / wax - choose,,
